ResourceID,Period Name,Period Name Use Type,Period Name Currency Type,Alternative Name,Alternative Name Use Type,Alternative Name Currency Type,Period Description,Period Description Type,Period Type,Earliest Possible Start Date,Latest Possible End Date,Parent Period,Geospatial Coordinates
b23fca5b-484a-4225-bdb0-596e2bcb2f3f,Late 1st Century,Primary,Current,Late 1st Cetury CE,Alternative,Current,The latter part of the first century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,67,100,"[{""resourceId"": ""70f79d9f-8349-49fb-b95d-1b85ec7c6d35"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b27f0861-aafa-4461-aa15-72a9d0a35b5f,Interwar,Primary,Current,,,,"Relating to the period between the First World War and Second World War in Britain, and in particular the rapid expansion of housing and the development of suburbs. To be used only in reference to Heritage Assets or other resources which are explicitly described as being characteristic of the Interwar period, particularly with regard to housing and suburban expansion. Otherwise, use Early 20th Century or Mid 20th Century.",Full,Historic Period,1918,1939,"[{""resourceId"": ""dce82930-30a2-4065-8d81-f7235aea1e0b"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b35dcc66-7e1a-48e6-a08d-42168044b6b8,Early Bronze Age,Primary,Current,,,,The earliest subdivision of the Bronze Age.,Full,Technological Period,-2600,-1600,"[{""resourceId"": ""2932661b-0748-40ee-9d20-7a9a44e7da59"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
b5b57de4-0a34-4c50-89a4-e65d582ddc39,2nd Century,Primary,Current,2nd Century CE,Alternative,Current,The second century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,101,200,,
bb53e174-5079-4c39-81f7-d2d64dd4408b,12th Century,Primary,Current,12th Century CE,Alternative,Current,The twelfth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1101,1200,,
bbecdd5e-340a-4e47-afb4-abe4c0635c41,Mid 15th Century,Primary,Current,Mid 15th Century CE,Alternative,Current,The middle part of the fifteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1433,1466,"[{""resourceId"": ""951df501-fa20-416e-869f-458ed9c79d32"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c0ce06fe-6c0b-416a-b525-23d6ec26c864,Early 6th Century,Primary,Current,Early 6th Century CE,Alternative,Current,The early part of the sixth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,501,532,"[{""resourceId"": ""39f57091-7290-439d-8826-028bd9207192"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c1248d88-34ff-4403-8e36-24123d14ee1a,Early 5th Century,Primary,Current,Early 5th Century CE,Alternative,Current,The early part of the fifth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,401,432,"[{""resourceId"": ""6a783bff-6c1b-4789-8be0-74f7e181c29f"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c2d20af4-020e-40a7-9321-b057bd405a0a,Regency,Primary,Current,,,,"While the Regency period technically only refers to the years 1811-1820, during which Prince George (later George IV) ruled as Prince Regent due to his father George III's declining health, the term is used more broadly in architecture, art and fashion to refer to the period from the latter part of George III's reign to the end of the Georgian/Hanoverian period. Use only for Heritage Assets or resources that are specifically referred to as being 'Regency' in character - for the broader time period, use Georgian.",Full,Political Period,1795,1837,"[{""resourceId"": ""d346baf3-76a8-4b3e-9c65-bdfa538f0a37"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c464208a-6079-4f90-8d9f-df650f35af1a,Mid 11th Century,Primary,Current,Mid 11th Century CE,Alternative,Current,The middle part of the eleventh century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1033,1066,"[{""resourceId"": ""7e4a68cc-8ffe-4b53-81ff-45cc574ec5f5"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
